Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Halloween Ends,"['writer', 'producer']",,2022,1h 51m,Movie,R,"['Horror', 'Thriller']",https://www.imdb.com/title/tt10665342/?ref_=nm_flmg_wr_1
Mr. Machine,['writer'],,,,Movie,,['Comedy'],https://www.imdb.com/title/tt0835442/?ref_=nm_flmg_wr_2
The Righteous Gemstones,"['writer', 'actor', 'producer', 'soundtrack', 'director']",8.1/10,2019–,36m,TV Series,TV-MA,"['Comedy', 'Drama']",https://www.imdb.com/title/tt8634332/?ref_=nm_flmg_wr_3
Halloween Kills,"['writer', 'producer']",5.5/10,2021,1h 45m,Movie,R,"['Horror', 'Thriller']",https://www.imdb.com/title/tt10665338/?ref_=nm_flmg_wr_4
Halloween,"['writer', 'producer']",6.5/10,2018,1h 46m,Movie,R,"['Crime', 'Horror', 'Thriller']",https://www.imdb.com/title/tt1502407/?ref_=nm_flmg_wr_5
The Legacy of a Whitetail Deer Hunter,"['writer', 'actor', 'producer']",5.5/10,2018,1h 23m,Movie,TV-14,['Comedy'],https://www.imdb.com/title/tt4762824/?ref_=nm_flmg_wr_6
Vice Principals,"['writer', 'actor', 'producer', 'director']",8.0/10,2016–2018,30m,TV Series,TV-MA,['Comedy'],https://www.imdb.com/title/tt3766376/?ref_=nm_flmg_wr_7
Eastbound & Down,"['writer', 'actor', 'producer', 'soundtrack']",8.2/10,2009–2013,28m,TV Series,TV-MA,"['Comedy', 'Drama', 'Sport']",https://www.imdb.com/title/tt0866442/?ref_=nm_flmg_wr_8
The Roadie,"['writer', 'actor']",7.5/10,2012,7m,Movie,TV-MA,"['Short', 'Comedy', 'Music']",https://www.imdb.com/title/tt2396719/?ref_=nm_flmg_wr_9
Your Highness,"['writer', 'actor', 'producer']",5.5/10,2011,1h 42m,Movie,R,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt1240982/?ref_=nm_flmg_wr_10
The Foot Fist Way,"['writer', 'actor']",6.2/10,2006,1h 25m,Movie,R,[],https://www.imdb.com/title/tt0492619/?ref_=nm_flmg_wr_11
Eddie Noble and the Heroes,"['writer', 'director']",7.8/10,1999,20m,Movie,,"['Short', 'Action']",https://www.imdb.com/title/tt8790698/?ref_=nm_flmg_wr_12
The Mitchells vs the Machines,['actor'],7.6/10,2021,1h 54m,Movie,PG,"['Animation', 'Adventure']",https://www.imdb.com/title/tt7979580/?ref_=nm_flmg_act_2
Zeroville,['actor'],4.5/10,2019,1h 36m,Movie,R,"['Comedy', 'Drama']",https://www.imdb.com/title/tt1881109/?ref_=nm_flmg_act_3
The Angry Birds Movie 2,['actor'],6.4/10,2019,1h 37m,Movie,PG,"['Animation', 'Action']",https://www.imdb.com/title/tt6095472/?ref_=nm_flmg_act_4
Tourism Australia: Dundee - The Son of a Legend Returns Home,['actor'],7.9/10,2018,3m,Video,Not Rated,['Short'],https://www.imdb.com/title/tt7895824/?ref_=nm_flmg_act_6
Arizona,['actor'],5.8/10,2018,1h 25m,Movie,TV-MA,"['Comedy', 'Thriller']",https://www.imdb.com/title/tt2140629/?ref_=nm_flmg_act_7
Tarantula,"['actor', 'producer']",6.6/10,2017,30m,TV Series,TV-MA,[],https://www.imdb.com/title/tt6087072/?ref_=nm_flmg_act_8
The Disaster Artist,['actor'],7.3/10,2017,1h 44m,Movie,R,"['Biography', 'Comedy', 'Drama']",https://www.imdb.com/title/tt3521126/?ref_=nm_flmg_act_10
Alien: Covenant - Phobos,['actor'],6.6/10,2017,9m,Video,,"['Short', 'Sci-Fi']",https://www.imdb.com/title/tt7309934/?ref_=nm_flmg_act_11
Alien: Covenant,['actor'],6.4/10,2017,2h 2m,Movie,R,"['Horror', 'Sci-Fi']",https://www.imdb.com/title/tt2316204/?ref_=nm_flmg_act_12
Alien: Covenant - Prologue: Last Supper,['actor'],6.6/10,2017,5m,Movie,,"['Short', 'Horror', 'Sci-Fi']",https://www.imdb.com/title/tt6571148/?ref_=nm_flmg_act_13
The Angry Birds Movie,['actor'],6.2/10,2016,1h 37m,Movie,PG,"['Animation', 'Action']",https://www.imdb.com/title/tt1985949/?ref_=nm_flmg_act_14
Angry Birds: Bachelorette Sneak Peek Media Promotion,['actor'],5.4/10,2016,,TV Movie,,['Family'],https://www.imdb.com/title/tt6799890/?ref_=nm_flmg_act_15
Animals.,['actor'],7.2/10,2016–2018,30m,TV Series,TV-MA,"['Animation', 'Comedy']",https://www.imdb.com/title/tt4953128/?ref_=nm_flmg_act_16
Sausage Party,['actor'],6.1/10,2016,1h 29m,Movie,R,"['Animation', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt1700841/?ref_=nm_flmg_act_17
Rock the Kasbah,['actor'],5.5/10,2015,1h 46m,Movie,R,"['Comedy', 'Music', 'War']",https://www.imdb.com/title/tt3164256/?ref_=nm_flmg_act_18
Hell and Back,"['actor', 'soundtrack']",5.3/10,2015,1h 26m,Movie,R,"['Animation', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt2141773/?ref_=nm_flmg_act_19
Aloha,['actor'],5.4/10,2015,1h 45m,Movie,PG-13,"['Comedy', 'Drama']",https://www.imdb.com/title/tt1243974/?ref_=nm_flmg_act_20
Don Verdean,['actor'],5.4/10,2015,1h 30m,Movie,PG-13,['Comedy'],https://www.imdb.com/title/tt3534282/?ref_=nm_flmg_act_21
The Sound and the Fury,['actor'],4.9/10,2014,1h 41m,Movie,TV-MA,['Drama'],https://www.imdb.com/title/tt3026144/?ref_=nm_flmg_act_22
Chozen,"['actor', 'producer']",6.4/10,2014,24m,TV Series,TV-MA,['Animation'],https://www.imdb.com/title/tt3221268/?ref_=nm_flmg_act_23
Grand Theft Auto V,['actor'],9.5/10,2013,,Video Game,M,"['Action', 'Crime', 'Drama']",https://www.imdb.com/title/tt2103188/?ref_=nm_flmg_act_25
Clear History,['actor'],6.4/10,2013,1h 41m,TV Movie,TV-MA,['Comedy'],https://www.imdb.com/title/tt2279864/?ref_=nm_flmg_act_26
The Real World: This Is the End Edition,['actor'],6.1/10,2013,6m,TV Short,,['Short'],https://www.imdb.com/title/tt4434588/?ref_=nm_flmg_act_27
This Is the End,['actor'],6.6/10,2013,1h 47m,Movie,R,['Comedy'],https://www.imdb.com/title/tt1245492/?ref_=nm_flmg_act_28
As I Lay Dying,['actor'],5.3/10,2013,1h 50m,Movie,R,[],https://www.imdb.com/title/tt1807944/?ref_=nm_flmg_act_29
Good Vibes,['actor'],7.3/10,2011,,TV Series,TV-14,"['Animation', 'Comedy']",https://www.imdb.com/title/tt1701982/?ref_=nm_flmg_act_31
