Title,Category,Rating,Year,Length,Type,Age,Genre
The Matrix Resurrections,"['writer', 'producer', 'director']",5.7/10,2021,2h 28m,Movie,11,"['Action', 'Sci-Fi']"
The Matrix Awakens: An Unreal Engine 5 Experience,"['writer', 'director']",8.0/10,2021,,Video Game,T,"['Action', 'Sci-Fi']"
Sense8,"['writer', 'producer', 'director', 'actress']",8.2/10,2015–2018,1h,TV Series,16+,"['Drama', 'Mystery', 'Sci-Fi']"
Jupiter Ascending,"['writer', 'producer', 'director']",5.3/10,2015,2h 7m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']"
Cloud Atlas,"['writer', 'producer', 'director']",7.4/10,2012,2h 52m,Movie,15,"['Drama', 'Mystery', 'Sci-Fi']"
CR: Enter the Matrix,['writer'],8.1/10,2009,,Video Game,,"['Action', 'Adventure', 'Family']"
Speed Racer,"['writer', 'producer', 'director']",6.0/10,2008,2h 15m,Movie,7,"['Action', 'Adventure', 'Comedy']"
V för Vendetta,"['writer', 'producer']",8.2/10,2005,2h 12m,Movie,15,"['Action', 'Drama', 'Sci-Fi']"
The Matrix: Path of Neo,"['writer', 'director', 'actress']",7.5/10,2005,,Video Game,T,"['Action', 'Adventure', 'Fantasy']"
The Matrix Online,"['writer', 'director']",6.6/10,2005,,Video Game,T,"['Action', 'Adventure', 'Sci-Fi']"
Matrix Revolutions,"['writer', 'producer', 'director']",6.7/10,2003,2h 9m,Movie,11,"['Action', 'Sci-Fi']"
Kid's Story,['writer'],7.4/10,2003,15m,Movie,,"['Animation', 'Short', 'Sci-Fi']"
The Second Renaissance Part II,['writer'],8.0/10,2003,10m,Movie,TV-MA,"['Animation', 'Short', 'Drama']"
Enter the Matrix,"['writer', 'director', 'production designer']",6.9/10,2003,,Video Game,T,"['Action', 'Adventure', 'Sci-Fi']"
Matrix Reloaded,"['writer', 'producer', 'director']",7.2/10,2003,2h 18m,Movie,11,"['Action', 'Sci-Fi']"
The Animatrix,"['writer', 'producer']",7.3/10,2003,1h 40m,Video,Unrated,"['Animation', 'Action', 'Sci-Fi']"
Final Flight of the Osiris,['writer'],7.5/10,2003,9m,Movie,11,"['Animation', 'Short', 'Action']"
The Second Renaissance Part I,['writer'],8.0/10,2003,9m,Movie,TV-MA,"['Animation', 'Short', 'Drama']"
Matrix,"['writer', 'producer', 'director']",8.7/10,1999,2h 16m,Movie,15,"['Action', 'Sci-Fi']"
Bound,"['writer', 'producer', 'director']",7.3/10,1996,1h 49m,Movie,15,"['Crime', 'Thriller']"
Dödligt möte,['writer'],6.3/10,1995,2h 13m,Movie,15,"['Action', 'Crime', 'Thriller']"
Google Me Love,['producer'],4.2/10,2013,14m,Movie,,"['Short', 'Comedy', 'Drama']"
Ninja Assassin,['producer'],6.3/10,2009,1h 39m,Movie,15,"['Action', 'Thriller']"
Matrix Revisited,"['producer', 'self']",7.4/10,2001,2h 3m,Video,Not Rated,['Documentary']
Sense8: Creating the World,"['director', 'self']",8.5/10,2015,26m,Movie,,"['Documentary', 'Short', 'Sci-Fi']"
"Jesus Holly Christ, A Slutty Second Coming",['thanks'],,2020,10m,Movie,,"['Short', 'Comedy']"
Paradox,['thanks'],3.9/10,2018,1h 13m,Movie,,"['Fantasy', 'Music']"
Kungens hologram,['thanks'],6.1/10,2016,1h 38m,Movie,R,"['Comedy', 'Drama', 'Romance']"
The Danish Girl,['thanks'],7.1/10,2015,1h 59m,Movie,11,"['Biography', 'Drama', 'Romance']"
Love of My Life,['thanks'],3.4/10,2013,1h 36m,Movie,Not Rated,"['Horror', 'Thriller']"
The Raven,['thanks'],6.4/10,2012,1h 50m,Movie,15,"['Crime', 'Mystery', 'Thriller']"
VIViD,['thanks'],3.8/10,2011,1h 20m,Movie,Unrated,"['Fantasy', 'Horror', 'Sci-Fi']"
2038: El futuro de ellas,['thanks'],5.9/10,2008,24m,Movie,,"['Short', 'Action', 'Sci-Fi']"
Return to Source: Philosophy & The Matrix,['thanks'],8.1/10,2004,1h 1m,Video,,['Documentary']
The Burly Man Chronicles,"['thanks', 'self']",7.2/10,2004,1h 35m,Video,,['Documentary']
The Hard Problem: The Science Behind the Fiction,['thanks'],7.2/10,2004,1h 1m,Video,,['Documentary']
The Matrix Recalibrated,['thanks'],7.5/10,2004,27m,Video,,"['Documentary', 'Short']"
Crash Course,['thanks'],6.4/10,2003,31m,Video,,"['Documentary', 'Short']"
Scrolls to Screen: A Brief History of Anime,['thanks'],7.1/10,2003,22m,Video,,"['Documentary', 'Short']"
#HappyBirthdaySense8,['self'],9.0/10,2017,15m,Movie,,['Short']
Side by Side Extra: Volume Four,['self'],8.3/10,2014,,Movie,,['Documentary']
Vivir de cine,['self'],5.5/10,2012–2013,,TV Series,,['News']
Janela Indiscreta,['self'],6.4/10,2010–,30m,TV Series,,['News']
Side by Side,['self'],7.6/10,2012,1h 39m,Movie,Not Rated,['Documentary']
The Matrix Reloaded Revisited,['self'],7.7/10,2004,,Movie,,['Documentary']
Executions: The Making of 'The Animatrix',['self'],7.7/10,2003,55m,Video,,['Documentary']
Behind 'The Matrix',['self'],7.2/10,2001,26m,Video,,['Short']
The Matrix Revisited: What Is to Come?,['self'],,2001,,Video,,"['Documentary', 'Short']"
Making 'The Matrix',['self'],8.5/10,1999,26m,TV Movie,,"['Documentary', 'Sci-Fi']"
The Matrix: Follow the White Rabbit,['self'],6.6/10,1999,23m,Video,,"['Documentary', 'Short']"
HBO First Look,['self'],6.2/10,1992–,13m,TV Series,,"['Documentary', 'Short']"
The Matrix: The Movie Special,['self'],7.8/10,Approved,30m,TV Movie,,['Action']
Independents' days,['self'],5.8/10,1997,26m,Movie,,"['Documentary', 'Short']"
The Movie Show,['self'],7.8/10,1991–2008,30m,TV Series,,['Talk-Show']
Unknown Movies,['archive footage'],6.7/10,2013–2017,,TV Series,,['Thriller']
