Title,Category,Rating,Year,Length,Type,Age,Genre
Machete Kills in Space,"['producer', 'writer', 'director']",,,,Movie,,"['Action', 'Comedy', 'Sci-Fi']"
Zorro,"['producer', 'writer', 'director']",,,,TV Series,,"['Animation', 'Action', 'Family']"
Corpus Christi,['producer'],,,,Movie,,"['Comedy', 'Drama', 'Fantasy']"
Hypnotic,"['producer', 'writer', 'director']",,,,Movie,,"['Action', 'Mystery', 'Thriller']"
Untitled Spy Kids Project,"['producer', 'writer', 'director', 'actor']",,,,Movie,,"['Action', 'Adventure', 'Comedy']"
The Book of Boba Fett,"['producer', 'director', 'soundtrack', 'actor']",7.3/10,2021–,38m,TV Series,12,"['Action', 'Adventure', 'Sci-Fi']"
Rebel Without a Crew: The Robert Rodriguez Film School,"['producer', 'self']",,2021,,TV Series,,"['Documentary', 'Reality-TV']"
Hood River,['producer'],6.5/10,2021,1h 21m,Movie,,['Documentary']
We Can Be Heroes,"['producer', 'writer', 'director', 'editor', 'cinematographer']",4.7/10,2020,1h 40m,Movie,PG,"['Action', 'Comedy', 'Drama']"
El Rey Nation,['producer'],8.4/10,2019–2020,,TV Series,,['Talk-Show']
Americanos,['producer'],,2020,,Movie,,['Biography']
The Chuey Martinez Show,['producer'],5.9/10,2019–2020,,TV Series,,['Talk-Show']
Spy Kids: Mission Critical,"['producer', 'writer']",4.7/10,TV-Y7-FV,,TV Series,,"['Animation', 'Action', 'Adventure']"
UglyDolls,"['producer', 'writer']",5.0/10,2019,1h 27m,Movie,7,"['Animation', 'Adventure', 'Comedy']"
Rebel Without a Crew: The Series,"['producer', 'self']",8.5/10,2018,,TV Series,,"['Documentary', 'Reality-TV']"
Stand United,['producer'],,2018,,TV Movie,,['Documentary']
The Limit,"['producer', 'writer', 'director']",6.8/10,2018,20m,Movie,,"['Short', 'Action']"
From Dusk Till Dawn: The Series,"['producer', 'writer', 'director', 'soundtrack']",6.8/10,2014–2016,45m,TV Series,16+,"['Action', 'Crime', 'Fantasy']"
Sock 'em Dead,"['producer', 'writer', 'director', 'editor', 'actor']",5.8/10,2015,7m,Movie,,"['Short', 'Comedy', 'Horror']"
The Director's Chair,"['producer', 'director', 'editor', 'self']",8.8/10,TV-14,45m,TV Series,,"['Biography', 'Talk-Show']"
Cutting Crew,['producer'],,2014–,,TV Mini Series,,['Reality-TV']
Lucha Underground,"['producer', 'self']",8.8/10,TV-14,1h,TV Series,,"['Action', 'Drama', 'Sport']"
Matador,"['producer', 'director']",5.7/10,2014,48m,TV Series,,"['Action', 'Crime', 'Sci-Fi']"
Sin City: A Dame to Kill For,"['producer', 'director', 'editor', 'soundtrack', 'actor', 'composer', 'sound department', 'cinematographer']",6.5/10,2014,1h 42m,Movie,15,"['Action', 'Crime', 'Thriller']"
On Set from Dusk Till Dawn,['producer'],7.6/10,2014–,,TV Series,,"['Documentary', 'Adventure']"
Machete Kills,"['producer', 'writer', 'director', 'editor', 'soundtrack', 'composer', 'visual effects', 'cinematographer', 'music department']",5.6/10,2013,1h 47m,Movie,15,"['Action', 'Crime', 'Thriller']"
Two Scoops,"['producer', 'writer', 'director', 'editor', 'composer', 'cinematographer']",4.8/10,2013,11m,Movie,,"['Short', 'Action']"
Spy Kids 4,"['producer', 'writer', 'director', 'composer', 'sound department', 'cinematographer']",3.5/10,2011,1h 29m,Movie,7,"['Action', 'Adventure', 'Comedy']"
Machete,"['producer', 'writer', 'director', 'editor', 'soundtrack', 'sound department', 'visual effects', 'music department']",6.6/10,2010,1h 45m,Movie,15,"['Action', 'Crime', 'Thriller']"
Predators,"['producer', 'sound department', 'visual effects']",6.4/10,2010,1h 47m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']"
Addicto de Salsa,['producer'],,2008,2h 14m,TV Movie,,"['Drama', 'Family', 'Fantasy']"
Shorts - Jakten på önskestenen,"['producer', 'writer', 'director', 'editor', 'soundtrack', 'composer', 'sound department', 'visual effects', 'cinematographer', 'camera and electrical department', 'music department']",4.7/10,2008,1h 29m,Movie,PG,"['Adventure', 'Comedy', 'Family']"
Death Proof,['producer'],7.0/10,2007,2h 7m,Movie,15,"['Action', 'Thriller']"
Planet Terror,"['producer', 'writer', 'director', 'editor', 'soundtrack', 'actor', 'composer', 'sound department', 'visual effects', 'cinematographer', 'camera and electrical department', 'music department', 'additional crew']",7.1/10,2007,1h 45m,Movie,15,"['Action', 'Comedy', 'Horror']"
Grindhouse,"['producer', 'writer', 'director', 'editor', 'soundtrack', 'actor', 'composer', 'sound department', 'visual effects', 'cinematographer', 'camera and electrical department']",7.5/10,2007,3h 11m,Movie,15,"['Action', 'Horror', 'Thriller']"
Curandero,"['producer', 'writer']",4.9/10,2005,1h 32m,Movie,R,['Horror']
Ten Minute Cooking School: Puerco Pibil,"['producer', 'director', 'editor', 'self']",7.8/10,2004,6m,Video,,"['Documentary', 'Short']"
"Ten Minute Flick School: Fast, Cheap, and in Control","['producer', 'director', 'editor', 'self']",7.5/10,2004,9m,Video,,"['Documentary', 'Short']"
Once Upon a Time in Mexico,"['producer', 'writer', 'director', 'editor', 'soundtrack', 'composer', 'sound department', 'visual effects', 'cinematographer', 'camera and electrical department', 'production designer']",6.3/10,2003,1h 42m,Movie,15,"['Action', 'Crime', 'Thriller']"
Spy Kids 3 - Game Over,"['producer', 'writer', 'director', 'editor', 'soundtrack', 'composer', 'visual effects', 'cinematographer', 'music department', 'production designer']",4.3/10,2003,1h 24m,Movie,7,"['Action', 'Adventure', 'Comedy']"
