Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Darkwing Duck,['producer'],,,,TV Series,,"['Animation', 'Action']",https://www.imdb.com/title/tt13457990/?ref_=nm_flmg_prd_1
Console Wars,"['producer', 'producer', 'writer', 'director']",,,,TV Mini Series,,"['Comedy', 'Drama']",https://www.imdb.com/title/tt3561990/?ref_=nm_flmg_prd_2
The Something,['producer'],,,,Movie,,"['Animation', 'Comedy']",https://www.imdb.com/title/tt1634076/?ref_=nm_flmg_prd_3
UNprofessionals,['producer'],,,,TV Series,,['Comedy'],https://www.imdb.com/title/tt10873856/?ref_=nm_flmg_prd_4
Untitled '90s Project,['producer'],,,,TV Movie,,[],https://www.imdb.com/title/tt6710786/?ref_=nm_flmg_prd_5
Untitled Seth Rogen/Evan Goldberg/NBC Project,['producer'],,,,TV Movie,,[],https://www.imdb.com/title/tt7462416/?ref_=nm_flmg_prd_6
Gen V,['producer'],,,,TV Series,,"['Action', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt13159924/?ref_=nm_flmg_prd_7
Miller's Girl,['producer'],,,,Movie,,['Comedy'],https://www.imdb.com/title/tt8310486/?ref_=nm_flmg_prd_8
Untitled Jason Woliner Project,['producer'],,,,TV Series,,[],https://www.imdb.com/title/tt20216544/?ref_=nm_flmg_prd_9
Teenage Mutant Ninja Turtles: Mutant Mayhem,"['producer', 'actor']",,2023,,Movie,,"['Animation', 'Action']",https://www.imdb.com/title/tt8589698/?ref_=nm_flmg_prd_10
Cobweb,['producer'],,,,Movie,,"['Horror', 'Thriller']",https://www.imdb.com/title/tt9100018/?ref_=nm_flmg_prd_11
Untitled Adele Lim/Lionsgate Comedy Project,['producer'],,,,Movie,,['Comedy'],https://www.imdb.com/title/tt15268244/?ref_=nm_flmg_prd_12
Invincible,"['producer', 'actor']",8.7/10,2021–,50m,TV Series,TV-MA,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt6741278/?ref_=nm_flmg_prd_13
Platonic,"['producer', 'actor']",,2022–,,TV Series,,"['Comedy', 'Romance']",https://www.imdb.com/title/tt13366604/?ref_=nm_flmg_prd_14
The Boys,"['producer', 'actor']",8.7/10,2019–,1h,TV Series,TV-MA,"['Action', 'Comedy']",https://www.imdb.com/title/tt1190634/?ref_=nm_flmg_prd_15
Pam & Tommy,"['producer', 'actor', 'soundtrack']",7.3/10,2022,5h 40m,TV Mini Series,TV-MA,"['Biography', 'Drama']",https://www.imdb.com/title/tt13659418/?ref_=nm_flmg_prd_16
The Boys Presents: Diabolical,"['producer', 'actor', 'writer']",6.9/10,2022–,14m,TV Series,TV-MA,"['Animation', 'Short']",https://www.imdb.com/title/tt16350094/?ref_=nm_flmg_prd_17
Santa Inc.,"['producer', 'actor']",1.5/10,2021,30m,TV Series,TV-MA,['Animation'],https://www.imdb.com/title/tt12286260/?ref_=nm_flmg_prd_18
Black Monday,"['producer', 'director']",7.4/10,2019–2021,30m,TV Series,TV-MA,[],https://www.imdb.com/title/tt7406334/?ref_=nm_flmg_prd_19
An American Pickle,"['producer', 'actor']",5.7/10,2020,1h 28m,Movie,PG-13,['Comedy'],https://www.imdb.com/title/tt9059704/?ref_=nm_flmg_prd_21
Preacher,"['producer', 'writer', 'director']",7.9/10,2016–2019,1h,TV Series,TV-MA,"['Adventure', 'Drama']",https://www.imdb.com/title/tt5016504/?ref_=nm_flmg_prd_22
Good Boys,['producer'],6.7/10,2019,1h 30m,Movie,R,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt6977338/?ref_=nm_flmg_prd_23
Long Shot,"['producer', 'actor']",6.8/10,2019,2h 5m,Movie,R,['Comedy'],https://www.imdb.com/title/tt2139881/?ref_=nm_flmg_prd_24
Future Man,"['producer', 'actor', 'director']",7.7/10,2017–2020,30m,TV Series,TV-MA,"['Action', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt4975856/?ref_=nm_flmg_prd_25
25,['producer'],2.9/10,2018,,TV Movie,,[],https://www.imdb.com/title/tt8004684/?ref_=nm_flmg_prd_26
Making Friends,['producer'],2.2/10,2018,,TV Movie,,[],https://www.imdb.com/title/tt7354736/?ref_=nm_flmg_prd_27
Singularity,"['producer', 'director']",4.3/10,2018,,TV Movie,,"['Comedy', 'Sci-Fi']",https://www.imdb.com/title/tt5969004/?ref_=nm_flmg_prd_28
Seth Rogen's Hilarity for Charity,"['producer', 'writer', 'soundtrack', 'self', 'self']",5.0/10,2018,1h 10m,TV Special,TV-MA,['Comedy'],https://www.imdb.com/title/tt8178116/?ref_=nm_flmg_prd_29
"Game Over, Man!",['producer'],5.4/10,2018,1h 41m,Movie,TV-MA,"['Action', 'Comedy']",https://www.imdb.com/title/tt3317234/?ref_=nm_flmg_prd_30
Blockers,['producer'],6.2/10,2018,1h 42m,Movie,R,[],https://www.imdb.com/title/tt2531344/?ref_=nm_flmg_prd_31
The Disaster Artist,"['producer', 'actor']",7.3/10,2017,1h 44m,Movie,R,"['Biography', 'Comedy', 'Drama']",https://www.imdb.com/title/tt3521126/?ref_=nm_flmg_prd_32
Neighbors 2: Sorority Rising,"['producer', 'actor', 'writer']",5.7/10,2016,1h 32m,Movie,R,[],https://www.imdb.com/title/tt4438848/?ref_=nm_flmg_prd_33
Sausage Party,"['producer', 'actor', 'writer', 'soundtrack']",6.1/10,2016,1h 29m,Movie,R,"['Animation', 'Adventure']",https://www.imdb.com/title/tt1700841/?ref_=nm_flmg_prd_34
The Night Before,"['producer', 'actor']",6.3/10,2015,1h 41m,Movie,R,['Comedy'],https://www.imdb.com/title/tt3530002/?ref_=nm_flmg_prd_35
The Interview,"['producer', 'actor', 'writer', 'director']",6.5/10,2014,1h 52m,Movie,R,"['Action', 'Adventure']",https://www.imdb.com/title/tt2788710/?ref_=nm_flmg_prd_36
Neighbors,"['producer', 'actor']",6.3/10,2014,1h 37m,Movie,R,['Comedy'],https://www.imdb.com/title/tt2004420/?ref_=nm_flmg_prd_37
This Is the End,"['producer', 'actor', 'writer', 'director', 'art department']",6.6/10,2013,1h 47m,Movie,R,['Comedy'],https://www.imdb.com/title/tt1245492/?ref_=nm_flmg_prd_38
The Guilt Trip,"['producer', 'actor']",5.8/10,2012,1h 35m,Movie,PG-13,['Comedy'],https://www.imdb.com/title/tt1694020/?ref_=nm_flmg_prd_39
50/50,"['producer', 'actor']",7.6/10,2011,1h 40m,Movie,R,"['Comedy', 'Drama']",https://www.imdb.com/title/tt1306980/?ref_=nm_flmg_prd_40
The Green Hornet,"['producer', 'actor', 'writer']",5.8/10,2011,1h 59m,Movie,PG-13,"['Action', 'Comedy']",https://www.imdb.com/title/tt0990407/?ref_=nm_flmg_prd_41
Funny People,"['producer', 'actor']",6.3/10,2009,2h 26m,Movie,R,"['Comedy', 'Drama']",https://www.imdb.com/title/tt1201167/?ref_=nm_flmg_prd_42
Pineapple Express,"['producer', 'actor', 'writer']",6.9/10,2008,1h 51m,Movie,R,"['Action', 'Comedy', 'Crime']",https://www.imdb.com/title/tt0910936/?ref_=nm_flmg_prd_43
Superbad,"['producer', 'actor', 'writer']",7.6/10,2007,1h 53m,Movie,R,[],https://www.imdb.com/title/tt0829482/?ref_=nm_flmg_prd_44
Knocked Up,"['producer', 'actor']",6.9/10,2007,2h 9m,Movie,R,['Comedy'],https://www.imdb.com/title/tt0478311/?ref_=nm_flmg_prd_45
The 40-Year-Old Virgin,"['producer', 'actor']",7.1/10,2005,1h 56m,Movie,R,"['Comedy', 'Romance']",https://www.imdb.com/title/tt0405422/?ref_=nm_flmg_prd_46
Being Mortal,['actor'],,2023,,Movie,,['Comedy'],https://www.imdb.com/title/tt18303004/?ref_=nm_flmg_act_1
¡Holy Holidays!,['actor'],,,,Movie,,['Comedy'],https://www.imdb.com/title/tt16982318/?ref_=nm_flmg_act_2
Chippendales,['actor'],,,,Movie,,['Biography'],https://www.imdb.com/title/tt3171172/?ref_=nm_flmg_act_3
Mufasa: The Lion King,['actor'],,2024,,Movie,,"['Animation', 'Adventure']",https://www.imdb.com/title/tt13186482/?ref_=nm_flmg_act_4
Kung Fu Panda 4,['actor'],,2024,,Movie,,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt21692408/?ref_=nm_flmg_act_5
Dumb Money,['actor'],,,,Movie,,"['Biography', 'Comedy', 'Drama']",https://www.imdb.com/title/tt13957560/?ref_=nm_flmg_act_6
Untitled Super Mario Project,['actor'],,2023,,Movie,,"['Animation', 'Adventure']",https://www.imdb.com/title/tt6718170/?ref_=nm_flmg_act_8
Teller Number Four,['actor'],,2022,,Movie,,"['Short', 'Action']",https://www.imdb.com/title/tt18069330/?ref_=nm_flmg_act_11
The Fabelmans,['actor'],8.4/10,2022,2h 31m,Movie,PG-13,['Drama'],https://www.imdb.com/title/tt14208870/?ref_=nm_flmg_act_12
Chip 'n Dale: Rescue Rangers,['actor'],7.0/10,2022,1h 37m,Movie,PG,"['Animation', 'Adventure']",https://www.imdb.com/title/tt3513500/?ref_=nm_flmg_act_14
Curb Your Enthusiasm,['actor'],8.8/10,2000–,28m,TV Series,TV-MA,[],https://www.imdb.com/title/tt0264235/?ref_=nm_flmg_act_18
Chicago Party Aunt,['actor'],5.4/10,2021–,30m,TV Series,TV-MA,"['Animation', 'Comedy']",https://www.imdb.com/title/tt15125616/?ref_=nm_flmg_act_19
