Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Freelance,['actress'],,,,Movie,,"['Action', 'Comedy']",https://www.imdb.com/title/tt15744298/?ref_=nm_flmg_act_1
Somebody I Used to Know,"['actress', 'producer', 'writer']",,2022,,Movie,R,['Comedy'],https://www.imdb.com/title/tt15333984/?ref_=nm_flmg_act_2
Roar,['actress'],5.5/10,2022–,30m,TV Series,15,['Comedy'],https://www.imdb.com/title/tt14161704/?ref_=nm_flmg_act_3
Spin Me Round,"['actress', 'producer', 'writer']",5.3/10,2022,1h 44m,Movie,Unrated,['Comedy'],https://www.imdb.com/title/tt14596320/?ref_=nm_flmg_act_4
Marvel's Moon Girl och Devil Dinosaur,['actress'],,2022–,,TV Series,TV-Y7,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt8041658/?ref_=nm_flmg_act_5
Star Wars: Visions,['actress'],7.0/10,9,,TV Series,,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt13622982/?ref_=nm_flmg_act_6
Rick and Morty,['actress'],9.2/10,2013–,23m,TV Series,16+,"['Animation', 'Adventure']",https://www.imdb.com/title/tt2861424/?ref_=nm_flmg_act_7
Cinema Toast,['actress'],5.5/10,2021–,,TV Series,15,['Comedy'],https://www.imdb.com/title/tt14444222/?ref_=nm_flmg_act_8
Happiest Season,['actress'],6.6/10,2020,1h 42m,Movie,13,"['Comedy', 'Crime']",https://www.imdb.com/title/tt8522006/?ref_=nm_flmg_act_9
The Rental,['actress'],5.7/10,2020,1h 28m,Movie,15,"['Drama', 'Horror', 'Mystery']",https://www.imdb.com/title/tt10003008/?ref_=nm_flmg_act_10
Community Table Read,['actress'],9.5/10,2020,35m,Video,,['Short'],https://www.imdb.com/title/tt12434942/?ref_=nm_flmg_act_11
BoJack Horseman,['actress'],8.8/10,2014–2020,25m,TV Series,16+,"['Animation', 'Comedy']",https://www.imdb.com/title/tt3398228/?ref_=nm_flmg_act_12
Horse Girl,"['actress', 'producer', 'writer']",5.9/10,2020,1h 43m,Movie,R,"['Drama', 'Mystery', 'Thriller']",https://www.imdb.com/title/tt11388406/?ref_=nm_flmg_act_13
Promising Young Woman,['actress'],7.5/10,2020,1h 53m,Movie,15,"['Crime', 'Drama', 'Mystery']",https://www.imdb.com/title/tt9620292/?ref_=nm_flmg_act_14
GLOW,"['actress', 'soundtrack', 'director']",8.0/10,2017–2019,35m,TV Series,13,"['Comedy', 'Drama', 'Sport']",https://www.imdb.com/title/tt5770786/?ref_=nm_flmg_act_15
Drunk History,['actress'],7.8/10,2013–2019,22m,TV Series,15,"['Comedy', 'History']",https://www.imdb.com/title/tt2712612/?ref_=nm_flmg_act_16
Lego-filmen 2,['actress'],6.6/10,2019,1h 47m,Movie,7,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt3513498/?ref_=nm_flmg_act_17
Weathering with You,['actress'],7.5/10,2019,1h 52m,Movie,11,"['Animation', 'Drama', 'Fantasy']",https://www.imdb.com/title/tt9426210/?ref_=nm_flmg_act_18
Emmet's Holiday Party: A Lego Movie Short,['actress'],6.0/10,2018,2m,Video,TV-Y7,"['Animation', 'Short']",https://www.imdb.com/title/tt9410240/?ref_=nm_flmg_act_19
