Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Bag Man,"['producer', 'director', 'writer']",,,,Movie,,[],https://www.imdb.com/title/tt14097084/
Dodgeball 2,['producer'],,,,Movie,,['Comedy'],https://www.imdb.com/title/tt2861098/
Super Sad True Love Story,"['producer', 'director']",,,,TV Series,,"['Comedy', 'Romance']",https://www.imdb.com/title/tt5371818/
London,"['producer', 'director']",,,,Movie,,['Thriller'],https://www.imdb.com/title/tt12530268/
Untitled Budd Schulberg Project,"['producer', 'self']",,,1h 30m,Movie,,['Documentary'],https://www.imdb.com/title/tt1212413/
High Desert,['producer'],,2022–,,TV Series,,['Comedy'],https://www.imdb.com/title/tt13142324/
In the Dark,['producer'],7.5/10,2019–2022,42m,TV Series,15,"['Action', 'Crime', 'Horror']",https://www.imdb.com/title/tt7772602/
"Le Flambeau, les aventuriers de Chupacabra",['producer'],6.6/10,2022–,37m,TV Series,,['Comedy'],https://www.imdb.com/title/tt20723358/
Severance,"['producer', 'director']",8.7/10,2022–,55m,TV Series,12,"['Drama', 'Mystery', 'Sci-Fi']",https://www.imdb.com/title/tt11280740/
Dinner with Friends,['producer'],4.4/10,2020,1h 35m,Movie,R,"['Comedy', 'Drama']",https://www.imdb.com/title/tt8431078/
La Flamme,['producer'],7.0/10,2020–,26m,TV Series,,['Comedy'],https://www.imdb.com/title/tt13286778/
Celebrity Escape Room,"['producer', 'writer', 'soundtrack', 'self']",6.8/10,2020,42m,TV Special,,"['Comedy', 'Reality-TV']",https://www.imdb.com/title/tt11939726/
Have a Good Trip: Adventures in Psychedelics,"['producer', 'self']",6.8/10,2020,1h 25m,Movie,TV-MA,"['Documentary', 'Comedy']",https://www.imdb.com/title/tt12133722/
Dinner in America,['producer'],7.2/10,2020,1h 46m,Movie,,"['Comedy', 'Drama', 'Music']",https://www.imdb.com/title/tt9058654/
Dark Cargo,['producer'],,2019,,TV Movie,,[],https://www.imdb.com/title/tt9766438/
Plus One,['producer'],6.6/10,2019,1h 38m,Movie,15,"['Comedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt7645122/
Escape at Dannemora,"['producer', 'director']",7.9/10,2018,7h 20m,TV Mini Series,15,"['Biography', 'Crime', 'Drama']",https://www.imdb.com/title/tt6866266/
The Package,['producer'],5.5/10,2018,1h 34m,Movie,TV-MA,"['Comedy', 'Thriller']",https://www.imdb.com/title/tt7525778/
Alex Strangelove,['producer'],6.3/10,2018,1h 39m,Movie,TV-MA,"['Comedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt5688996/
