Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Oppenheimer,"['producer', 'writer', 'director']",,2023,,Movie,,"['Biography', 'Drama', 'History']",https://www.imdb.com/title/tt15398776/
Zack Snyder's Justice League,['producer'],8.0/10,2021,4h 2m,Movie,11,"['Action', 'Adventure', 'Fantasy']",https://www.imdb.com/title/tt12361974/
Tenet,"['producer', 'writer', 'director']",7.3/10,2020,2h 30m,Movie,15,"['Action', 'Sci-Fi', 'Thriller']",https://www.imdb.com/title/tt6723592/
The Doll's Breath,['producer'],7.1/10,2019,21m,Movie,,"['Animation', 'Short']",https://www.imdb.com/title/tt10883760/
The Dunkirk Spirit: Behind the Making of the Movie,['producer'],7.8/10,2018,28m,Movie,,"['Documentary', 'Short']",https://www.imdb.com/title/tt8000432/
Justice League,['producer'],6.1/10,2017,2h,Movie,11,"['Action', 'Adventure', 'Fantasy']",https://www.imdb.com/title/tt0974015/
Dunkirk,"['producer', 'writer', 'director']",7.8/10,2017,1h 46m,Movie,15,"['Action', 'Drama', 'History']",https://www.imdb.com/title/tt5013056/
Batman v Superman: Dawn of Justice Ultimate Edition,['producer'],7.1/10,2016,3h 2m,Movie,R,"['Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt18689424/
Batman v Superman: Dawn of Justice,['producer'],6.4/10,2016,2h 32m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt2975590/
Quay,"['producer', 'director', 'cinematographer', 'composer']",6.5/10,2015,8m,Movie,Not Rated,"['Documentary', 'Short']",https://www.imdb.com/title/tt4907572/
Interstellar,"['producer', 'writer', 'director']",8.6/10,2014,2h 49m,Movie,11,"['Adventure', 'Drama', 'Sci-Fi']",https://www.imdb.com/title/tt0816692/
Transcendence,['producer'],6.2/10,2014,1h 59m,Movie,15,"['Action', 'Drama', 'Sci-Fi']",https://www.imdb.com/title/tt2209764/
Man of Steel,"['producer', 'writer']",7.1/10,2013,2h 23m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt0770828/
The Dark Knight Rises,"['producer', 'writer', 'director']",8.4/10,2012,2h 44m,Movie,15,"['Action', 'Drama']",https://www.imdb.com/title/tt1345836/
Inception,"['producer', 'writer', 'director']",8.8/10,2010,2h 28m,Movie,15,"['Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt1375666/
The Dark Knight,"['producer', 'writer', 'director']",9.0/10,2008,2h 32m,Movie,15,"['Action', 'Crime', 'Drama']",https://www.imdb.com/title/tt0468569/
The Prestige,"['producer', 'writer', 'director']",8.5/10,2006,2h 10m,Movie,11,"['Drama', 'Mystery', 'Sci-Fi']",https://www.imdb.com/title/tt0482571/
Following,"['producer', 'writer', 'director', 'cinematographer', 'editor']",7.5/10,1998,1h 9m,Movie,R,"['Crime', 'Mystery', 'Thriller']",https://www.imdb.com/title/tt0154506/
Larceny,"['producer', 'writer', 'director', 'cinematographer', 'editor']",6.2/10,1996,8m,Movie,,['Short'],https://www.imdb.com/title/tt6386412/
Tarantella,"['producer', 'writer', 'director', 'cinematographer', 'editor']",5.8/10,1989,4m,Movie,,"['Short', 'Horror']",https://www.imdb.com/title/tt6386408/
Memento,"['writer', 'writer', 'director']",,,,Movie,,"['Mystery', 'Thriller']",https://www.imdb.com/title/tt5207922/
Inception: The Cobol Job,['writer'],7.5/10,2010,14m,Video,Not Rated,"['Animation', 'Short', 'Action']",https://www.imdb.com/title/tt1790736/
Batman Begins,"['writer', 'writer', 'director', 'thanks']",8.2/10,2005,,Video Game,T,"['Action', 'Adventure', 'Crime']",https://www.imdb.com/title/tt0450392/
Doodlebug,"['writer', 'director', 'cinematographer', 'editor', 'art department']",7.0/10,1997,3m,Movie,Not Rated,"['Short', 'Action', 'Fantasy']",https://www.imdb.com/title/tt0411302/
Cinema16: British Short Films,"['director', 'self']",7.2/10,2003,3h 23m,Video,,[],https://www.imdb.com/title/tt0368644/
Insomnia,['director'],7.2/10,2002,1h 58m,Movie,15,"['Drama', 'Mystery', 'Thriller']",https://www.imdb.com/title/tt0278504/
Detective Inspector,['thanks'],,2022,1h 15m,Movie,,"['Action', 'Comedy', 'Crime']",https://www.imdb.com/title/tt12230756/
R248,['thanks'],,2017,9m,Movie,,"['Short', 'Drama']",https://www.imdb.com/title/tt7196882/
DC Villains - Catwoman: The Feline Femme Fatale,"['thanks', 'self']",6.7/10,2021,,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt16191198/
The Arsonist,['thanks'],5.5/10,2020,1h 4m,Movie,,"['Comedy', 'Crime', 'Mystery']",https://www.imdb.com/title/tt10436798/
Looking at the World in a New Way: The Making of Tenet,"['thanks', 'self']",7.9/10,2020,1h 16m,Video,,['Documentary'],https://www.imdb.com/title/tt13920556/
Restart,['thanks'],7.2/10,2020,3m,Movie,,"['Short', 'Comedy']",https://www.imdb.com/title/tt12879116/
Looks Like Pennies,['thanks'],,2019,5m,Movie,,"['Short', 'Action']",https://www.imdb.com/title/tt10396518/
Dark Harvest,['thanks'],4.7/10,2016,1h 30m,Movie,,"['Crime', 'Drama', 'Thriller']",https://www.imdb.com/title/tt2939114/
An Act of War,['thanks'],5.2/10,2015,1h 39m,Movie,Not Rated,"['Crime', 'Drama', 'Thriller']",https://www.imdb.com/title/tt1861445/
Inside 'Interstellar',"['thanks', 'self']",8.2/10,2015,2h 2m,Video,,['Documentary'],https://www.imdb.com/title/tt5297406/
Planet Krypton,['thanks'],7.5/10,2013,18m,Video,,"['Documentary', 'Short', 'Sci-Fi']",https://www.imdb.com/title/tt3328882/
"Strong Characters, Legendary Roles",['thanks'],6.8/10,2013,26m,Video,,['Short'],https://www.imdb.com/title/tt3329128/
Paranormal Movie,['thanks'],2.3/10,2013,1h 28m,Movie,Not Rated,"['Comedy', 'Horror']",https://www.imdb.com/title/tt2392846/
Pulp,['thanks'],7.3/10,2013,1h 34m,Movie,,['Comedy'],https://www.imdb.com/title/tt1737680/
Don Jon,['thanks'],6.5/10,2013,1h 30m,Movie,15,"['Comedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt2229499/
The Black Dahlia Haunting,['thanks'],4.2/10,2012,1h 20m,Movie,TV-14,"['Crime', 'Drama', 'Horror']",https://www.imdb.com/title/tt2359347/
Atomism,['thanks'],8.7/10,2011,15m,Movie,Not Rated,"['Short', 'Action', 'Sci-Fi']",https://www.imdb.com/title/tt2317393/
Exploring 'The Tree of Life',"['thanks', 'self']",7.3/10,2011,30m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt2126285/
The Wronged One,['thanks'],8.1/10,2010–,,TV Series,TV-MA,"['Crime', 'Drama']",https://www.imdb.com/title/tt4507222/
El defensor,['thanks'],7.6/10,2011,8m,Movie,,['Short'],https://www.imdb.com/title/tt2007377/
Mr. J,['thanks'],6.7/10,2010,35m,Movie,,"['Short', 'Action', 'Adventure']",https://www.imdb.com/title/tt1754231/
Dreams: Cinema of the Subconscious,"['thanks', 'self']",7.7/10,2010,44m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1843886/
Before Breakfast,['thanks'],7.3/10,2010,12m,Movie,Not Rated,"['Short', 'Comedy', 'Drama']",https://www.imdb.com/title/tt1732568/
HBO First Look,"['thanks', 'self']",6.2/10,1992–,13m,TV Series,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0318220/
The Dark Knight Tribute,['thanks'],8.8/10,2009,17m,Video,,"['Documentary', 'Short', 'Action']",https://www.imdb.com/title/tt1692926/
Our Lost Translation,['thanks'],9.0/10,2007,4m,Movie,,"['Short', 'Drama']",https://www.imdb.com/title/tt1084724/
Batman: The Journey Begins,"['thanks', 'self']",7.5/10,2005,14m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0485593/
Mementos,['thanks'],7.2/10,2004,23m,Movie,,"['Comedy', 'Short']",https://www.imdb.com/title/tt0337675/
Hollywood Insider,['self'],8.1/10,2018–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt8638066/
Joker: Put on A Happy Face,['self'],6.9/10,2020,35m,Movie,,"['Documentary', 'Short', 'History']",https://www.imdb.com/title/tt12920708/
GMA3: What You Need to Know,['self'],4.7/10,2020–,1h,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt12690356/
The Game Awards 2020,['self'],5.6/10,2020,,TV Special,,[],https://www.imdb.com/title/tt13687276/
Good Morning America,['self'],4.4/10,1975–,2h,TV Series,TV-G,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0072506/
Entertainment Tonight,"['self', 'archive footage']",3.5/10,1981–,30m,TV Series,,['News'],https://www.imdb.com/title/tt0081857/
Dagsrevyen,['self'],7.3/10,1958–,,TV Series,,['News'],https://www.imdb.com/title/tt0380100/
Hollywood's Stories,['self'],2.8/10,2019–2020,26m,TV Series,,"['Documentary', 'Biography']",https://www.imdb.com/title/tt11427372/
Making Waves: The Art of Cinematic Sound,['self'],7.5/10,2019,1h 34m,Movie,Unrated,['Documentary'],https://www.imdb.com/title/tt3856408/
"""Mästarna av science fiction""",['self'],7.9/10,2018,1h,TV Mini Series,,"['Documentary', 'Sci-Fi']",https://www.imdb.com/title/tt8344332/
Le journal du Festival,['self'],5.9/10,2016–,,TV Series,,[],https://www.imdb.com/title/tt5735602/
The Oscars,"['self', 'archive footage']",5.8/10,2018,3h 7m,TV Special,TV-14,['Music'],https://www.imdb.com/title/tt7235270/
The EE British Academy Film Awards,['self'],6.3/10,2018,,TV Special,,[],https://www.imdb.com/title/tt7866928/
The 75th Annual Golden Globe Awards,['self'],5.5/10,2018,,TV Special,,"['Comedy', 'News']",https://www.imdb.com/title/tt6635044/
The Making of Dunkirk,['self'],7.8/10,2017,1h 46m,Video,PG-13,['Documentary'],https://www.imdb.com/title/tt7730784/
The British Academy Britannia Awards,['self'],,2017,,TV Special,,[],https://www.imdb.com/title/tt7595752/
Made in Hollywood,['self'],4.9/10,2005–,1h,TV Series,TV-PG,['Talk-Show'],https://www.imdb.com/title/tt0911896/
Popcorn with Peter Travers,['self'],7.3/10,2009–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt5326328/
Today,['self'],4.5/10,1952–,4h,TV Series,TV-G,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0044298/
Dunkirk IMAX® Behind the Frame,['self'],,2017,4m,Movie,,"['Documentary', 'Short']",https://www.imdb.com/title/tt11559876/
Heat: Academy of Motion Picture Arts and Sciences Filmmaker Panel,['self'],6.4/10,2017,1h 3m,Video,,['Documentary'],https://www.imdb.com/title/tt7080824/
Academy Event: Heat,['self'],7.0/10,2016,,Video,,"['Short', 'Talk-Show']",https://www.imdb.com/title/tt6348726/
Cinema Futures,['self'],7.4/10,2016,2h 6m,Movie,,"['Documentary', 'History']",https://www.imdb.com/title/tt6002238/
60 Minutes,"['self', 'archive footage']",7.5/10,1968–,1h,TV Series,TV-PG,"['Documentary', 'News']",https://www.imdb.com/title/tt0123338/
IMDb Asks,['self'],7.1/10,2015,1m,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt5070048/
StarTalk,['self'],7.7/10,2015–,47m,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt4634294/
"Creating Interstellar: A Discussion with Christopher Nolan, Anne Hathaway, Mathew McConaughey, and Jessica Chastain",['self'],,2015,14m,Video,,['Short'],https://www.imdb.com/title/tt5297444/
The Science of Interstellar,['self'],7.2/10,2015,51m,Movie,,['Documentary'],https://www.imdb.com/title/tt4415360/
CBS This Morning,['self'],4.8/10,1992–,2h,TV Series,,['News'],https://www.imdb.com/title/tt2163227/
The Colbert Report,['self'],8.4/10,2005–2014,30m,TV Series,TV-14,"['Comedy', 'News', 'Talk-Show']",https://www.imdb.com/title/tt0458254/
IMDb: What to Watch,['self'],6.9/10,2013–2015,12m,TV Series,Not Rated,"['Documentary', 'Talk-Show']",https://www.imdb.com/title/tt3412000/
Interstellar: Nolan's Odyssey,['self'],7.1/10,2014,23m,TV Movie,,['Documentary'],https://www.imdb.com/title/tt4172224/
Rencontres de cinéma,['self'],4.5/10,2007–,,TV Series,,[],https://www.imdb.com/title/tt5123584/
The Hollywood Reporter in Focus,['self'],,2013–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt3391950/
D.I.Y.,['self'],9.0/10,2014,30m,Movie,,"['Documentary', 'Short']",https://www.imdb.com/title/tt3529900/
Christopher Nolan & Richard Donner: A Conversation,['self'],7.9/10,2013,25m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt3138288/
The Fire Rises: The Creation and Impact of the Dark Knight Trilogy,['self'],8.0/10,2013,1h 17m,Video,,['Documentary'],https://www.imdb.com/title/tt3138282/
Tales from the Warner Bros. Lot,['self'],7.1/10,2013,1h 46m,Movie,,['Documentary'],https://www.imdb.com/title/tt2547622/
Ending the Knight,['self'],8.7/10,2012,1h 51m,Video,,['Documentary'],https://www.imdb.com/title/tt5239504/
Stanley Kubrick in Focus,['self'],7.5/10,2012,29m,Movie,,['Short'],https://www.imdb.com/title/tt2552826/
The Batmobile,['self'],7.4/10,2012,1h,TV Movie,TV-PG,['Documentary'],https://www.imdb.com/title/tt2274760/
Fantástico,['self'],5.6/10,1973–,3h,TV Series,,"['Crime', 'Music', 'News']",https://www.imdb.com/title/tt0381753/
Guys Choice Awards 2012,['self'],6.1/10,2012,,TV Special,,[],https://www.imdb.com/title/tt2202980/
2012 MTV Movie Awards,['self'],4.8/10,2012,,TV Special,,['Music'],https://www.imdb.com/title/tt2402919/
Side by Side,['self'],7.6/10,2012,1h 39m,Movie,Not Rated,['Documentary'],https://www.imdb.com/title/tt2014338/
In the House with Peter Bart & Peter Guber,['self'],6.3/10,2009–2011,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt1642102/
Remembering 'Memento',['self'],,2011,8m,Video,,['Short'],https://www.imdb.com/title/tt5328954/
9th Annual Visual Effects Society Awards,['self'],,2011,,TV Special,,[],https://www.imdb.com/title/tt3121134/
These Amazing Shadows,['self'],7.6/10,2011,1h 28m,Movie,Not Rated,['Documentary'],https://www.imdb.com/title/tt1273222/
2011 Golden Globe Awards,['self'],7.4/10,2011,,TV Special,,"['Comedy', 'Music']",https://www.imdb.com/title/tt1810776/
Inception: Jump Right Into the Action,['self'],8.8/10,2010,44m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt5295990/
Scream Awards 2010,['self'],6.9/10,2010,2h,TV Special,TV-14,['Horror'],https://www.imdb.com/title/tt1754468/
Janela Indiscreta,['self'],6.4/10,2010–,30m,TV Series,,['News'],https://www.imdb.com/title/tt1612376/
The 7PM Project,['self'],4.4/10,2009–,1h,TV Series,,"['Comedy', 'News', 'Talk-Show']",https://www.imdb.com/title/tt1480165/
Up Close with Carrie Keagan,['self'],4.0/10,2007–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt1434322/
Guys Choice,['self'],7.5/10,2010,,TV Special,,[],https://www.imdb.com/title/tt1672620/
The 81st Annual Academy Awards,['self'],7.8/10,2009,3h 30m,TV Special,TV-14,['News'],https://www.imdb.com/title/tt1219288/
2009 Golden Globe Awards,['self'],7.1/10,2009,,TV Special,,['News'],https://www.imdb.com/title/tt1222814/
The 14th Annual Critics' Choice Awards,['self'],7.1/10,2009,,TV Special,,['Reality-TV'],https://www.imdb.com/title/tt1264979/
The 35th Annual People's Choice Awards,['self'],4.5/10,2009,,TV Special,,[],https://www.imdb.com/title/tt1349447/
Gotham Uncovered: Creation of a Scene,['self'],6.9/10,2008,1h 4m,Video,,['Documentary'],https://www.imdb.com/title/tt5237190/
Els matins a TV3,['self'],7.0/10,2004–,,TV Series,,[],https://www.imdb.com/title/tt0460659/
Batman Tech,['self'],7.3/10,2008,45m,TV Movie,,['Documentary'],https://www.imdb.com/title/tt1265588/
Batman Unmasked,['self'],7.1/10,2008,46m,TV Movie,,['Documentary'],https://www.imdb.com/title/tt1265589/
The Director's Notebook,['self'],6.8/10,2007,20m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1035445/
Film '72,['self'],7.0/10,1971–2018,30m,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt0192897/
Film Noir: Bringing Darkness to Light,['self'],7.2/10,2006,1h 8m,Video,,"['Documentary', 'History']",https://www.imdb.com/title/tt0876257/
Batman: The Tumbler,['self'],7.3/10,2005,14m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0485594/
Batman Begins: Path to Discovery,['self'],7.1/10,2005,14m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0485689/
Cape and Cowl,['self'],6.8/10,2005,8m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0485604/
Genesis of the Bat,['self'],7.0/10,2005,15m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0485650/
Gotham City Rises,['self'],7.2/10,2005,13m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0485653/
Saving Gotham City,['self'],7.1/10,2005,13m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0485717/
Shaping Mind and Body,['self'],6.9/10,2005,13m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0485718/
Charlie Rose,['self'],7.5/10,1991–2017,1h,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0270116/
Memento: Interview with Christopher Nolan,['self'],7.7/10,2004,24m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt5328982/
The 100 Greatest Movie Stars,['self'],5.3/10,2003,6h,TV Movie,,"['Documentary', 'Family']",https://www.imdb.com/title/tt0372743/
Day for Night: The Making of 'Insomnia',['self'],5.2/10,2002,8m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0362540/
180°: Christopher Nolan Interviews Al Pacino,['self'],7.7/10,2002,17m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0357402/
Making of Insomnia,['self'],,2002,30m,TV Movie,,['Documentary'],https://www.imdb.com/title/tt3511912/
2002 MTV Movie Awards,['self'],6.4/10,2002,2h,TV Special,,[],https://www.imdb.com/title/tt0324947/
The 2002 IFP/West Independent Spirit Awards,['self'],5.1/10,2002,2h 30m,TV Special,,['Documentary'],https://www.imdb.com/title/tt0312304/
Anatomy of a Scene,['self'],6.6/10,2001–2004,30m,TV Series,,['Documentary'],https://www.imdb.com/title/tt0306276/
Siskel & Ebert & the Movies,['self'],8.6/10,1986–2010,30m,TV Series,TV-PG,['Talk-Show'],https://www.imdb.com/title/tt0090523/
Minty Comedic Arts,['archive footage'],8.5/10,2015–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt15481624/
How Batman Movies Pulled Off 6 Batmobile & Batwing Stunts,['archive footage'],,2022,7m,Video,,"['Documentary', 'Short', 'Action']",https://www.imdb.com/title/tt20721772/
Nota Bonus,['archive footage'],,2015–,,TV Series,,['History'],https://www.imdb.com/title/tt9099726/
Patrick Willems Video Essays,['archive footage'],8.3/10,2016–,,TV Series,,['Documentary'],https://www.imdb.com/title/tt7252086/
Patrick Explains,['archive footage'],7.3/10,2017–,,TV Series,,['Documentary'],https://www.imdb.com/title/tt9496010/
Honest Trailers,['archive footage'],8.5/10,2012–,5m,TV Series,TV-14,['Comedy'],https://www.imdb.com/title/tt2610260/
Access Hollywood,['archive footage'],3.1/10,1996–,30m,TV Series,TV-PG,['News'],https://www.imdb.com/title/tt0167515/
Extra,['archive footage'],3.2/10,1994–,30m,TV Series,TV-PG,['News'],https://www.imdb.com/title/tt0247094/
History Buffs,['archive footage'],8.8/10,2015–,25m,TV Series,,"['Documentary', 'Comedy', 'History']",https://www.imdb.com/title/tt7229822/
Behind the Scenes,['archive footage'],7.1/10,2017,2h 41m,Movie,,['Documentary'],https://www.imdb.com/title/tt15292952/
Too Young to Die,['archive footage'],7.0/10,2012–,52m,TV Series,,['Documentary'],https://www.imdb.com/title/tt2241422/
Secret Origin: The Story of DC Comics,['archive footage'],7.6/10,2010,1h 30m,Video,Not Rated,"['Documentary', 'History']",https://www.imdb.com/title/tt1599373/
Troldspejlet,['archive footage'],8.8/10,1989–,25m,TV Series,,['News'],https://www.imdb.com/title/tt0318251/
