Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Strange Planet,"['writer', 'producer']",,,,TV Series,,[],https://www.imdb.com/title/tt14914464/
Krapopolis,"['writer', 'producer']",,,,TV Series,,['Animation'],https://www.imdb.com/title/tt14016574/
Rick and Morty,"['writer', 'producer', 'actor', 'soundtrack']",9.2/10,2013–,23m,TV Series,16+,"['Animation', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt2861424/
Community Table Read,"['writer', 'producer', 'self']",9.5/10,2020,35m,Video,,"['Short', 'Comedy']",https://www.imdb.com/title/tt12434942/
Harmontown,"['writer', 'producer', 'producer', 'director', 'soundtrack', 'self', 'self']",8.4/10,2012–2021,,Podcast Series,,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt5915224/
Bitch: The Scary Terry Story,"['writer', 'thanks']",5.5/10,2019,8m,Movie,,"['Short', 'Comedy']",https://www.imdb.com/title/tt11023618/
Run the Jewels: Oh Mama,['writer'],7.5/10,2018,4m,Music Video,TV-14,"['Animation', 'Music']",https://www.imdb.com/title/tt8195286/
Whiting Wongs,"['writer', 'producer', 'self']",,2017–2018,,Podcast Series,,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt12792492/
Rick and Morty Exquisite Corpse,['writer'],8.1/10,2017,3m,Video,TV-14,"['Animation', 'Short', 'Sci-Fi']",https://www.imdb.com/title/tt7149328/
Rick and Morty Strike Again!,['writer'],4.7/10,2017,8m,Movie,,"['Short', 'Comedy']",https://www.imdb.com/title/tt7119072/
Rick and Morty Ruin a Fan Film,"['writer', 'thanks']",3.8/10,2017,6m,Movie,,"['Short', 'Comedy']",https://www.imdb.com/title/tt6852592/
Mystery Science Theater 3000: The Return,"['writer', 'thanks']",8.2/10,2017–2022,1h 30m,TV Series,TV-14,"['Comedy', 'Drama', 'Horror']",https://www.imdb.com/title/tt6782014/
Great Minds with Dan Harmon,"['writer', 'producer', 'actor']",7.9/10,2016,,TV Series,,['Comedy'],https://www.imdb.com/title/tt5533758/
