Title,Category,Rating,Year,Length,Type,Age,Genre
Mr. & Mrs. Smith,"['actor', 'writer', 'producer']",,2022–,,TV Series,,"['Action', 'Comedy', 'Crime']"
Atlanta,"['actor', 'writer', 'producer', 'soundtrack', 'director', 'music department']",8.6/10,2016–2022,30m,TV Series,16+,"['Comedy', 'Drama', 'Music']"
Community Table Read,['actor'],9.5/10,2020,35m,Video,,"['Short', 'Comedy']"
Lejonkungen,"['actor', 'soundtrack']",6.8/10,2019,1h 58m,Movie,11,"['Animation', 'Adventure', 'Drama']"
Men in Black: International,['actor'],5.6/10,2019,1h 54m,Movie,11,"['Action', 'Adventure', 'Comedy']"
Guava Island,"['actor', 'writer', 'producer', 'soundtrack']",6.6/10,2019,55m,Movie,TV-MA,"['Comedy', 'Drama', 'Music']"
Childish Gambino: Pharos,['actor'],6.8/10,2018,,Video Game,,['Music']
Childish Gambino: Feels Like Summer,"['actor', 'composer', 'director']",8.2/10,2018,5m,Music Video,,"['Animation', 'Music']"
SZA: Garden (Say It Like Dat),['actor'],6.3/10,2018,4m,Music Video,,['Music']
Solo: A Star Wars Story,['actor'],6.9/10,2018,2h 15m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']"
Saturday Night Live: Cut for Time,['actor'],5.2/10,2013–,,TV Series,,['Comedy']
Childish Gambino: This Is America,"['actor', 'composer', 'music department']",9.2/10,2018,4m,Music Video,TV-MA,"['Crime', 'Music', 'Musical']"
Spider-Man: Homecoming,['actor'],7.4/10,2017,2h 13m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']"
Childish Gambino: Redbone,['actor'],,2016,5m,Music Video,,['Music']
Äventyrsdags,"['actor', 'soundtrack']",8.6/10,2010–2018,11m,TV Series,TV-PG,"['Animation', 'Action', 'Adventure']"
Childish Gambino Feat. Heems: Tell Me,['actor'],4.2/10,2015,3m,Music Video,,['Music']
The Martian,['actor'],8.0/10,2015,2h 24m,Movie,11,"['Adventure', 'Drama', 'Sci-Fi']"
Magic Mike XXL,"['actor', 'soundtrack']",5.6/10,2015,1h 55m,Movie,Btl,"['Comedy', 'Drama', 'Music']"
"China, IL",['actor'],7.1/10,2008–2015,22m,TV Series,TV-14,"['Animation', 'Comedy']"
Ultimate Spider-Man,['actor'],7.2/10,2012–2017,23m,TV Series,6,"['Animation', 'Action', 'Adventure']"
The Lazarus Effect,['actor'],5.2/10,2015,1h 23m,Movie,PG-13,"['Horror', 'Mystery', 'Sci-Fi']"
Kari Faux: Gahdamn,['actor'],,2015,5m,Music Video,,['Music']
Childish Gambino: Sober,"['actor', 'soundtrack', 'composer']",8.6/10,2015,5m,Music Video,,"['Comedy', 'Music', 'Musical']"
Childish Gambino: Telegraph Ave,"['actor', 'soundtrack', 'composer']",8.2/10,2014,5m,Music Video,,"['Horror', 'Music', 'Sci-Fi']"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",['actor'],6.2/10,2014,1h 21m,Movie,PG,"['Comedy', 'Drama', 'Family']"
Sesame Street: Learning Rocks,['actor'],,2014,2h 2m,Video,Not Rated,['Family']
Childish Gambino Feat. Problem: Sweatpants,['actor'],8.4/10,2014,4m,Music Video,,['Music']
Chicken and Futility,"['actor', 'writer', 'director']",7.0/10,2014,3m,Movie,,"['Short', 'Comedy']"
Community,"['actor', 'soundtrack']",8.5/10,2009–2015,22m,TV Series,11,['Comedy']
Childish Gambino Feat. Chance the Rapper: The Worst Guys,"['actor', 'composer']",7.1/10,2014,4m,Music Video,,['Music']
Childish Gambino: 3005,['actor'],8.1/10,2013,4m,Music Video,,['Music']
Kenna Feat. Childish Gambino: Relations,"['actor', 'composer']",,2013,4m,Music Video,,['Music']
Jhené Aiko Feat. Childish Gambino: Bed Peace,"['actor', 'composer']",4.4/10,2013,6m,Music Video,,['Music']
Clapping for the Wrong Reasons,"['actor', 'writer', 'producer', 'composer']",7.5/10,2013,25m,Movie,,"['Short', 'Comedy', 'Drama']"
The To Do List,['actor'],5.8/10,2013,1h 44m,Movie,11,"['Comedy', 'Romance']"
Sesam,['actor'],8.1/10,1969–,55m,TV Series,TV-Y,"['Animation', 'Adventure', 'Comedy']"
Girls,['actor'],7.3/10,2012–2017,28m,TV Series,15,"['Comedy', 'Drama']"
Childish Gambino: Fire Fly,"['actor', 'writer', 'producer', 'soundtrack', 'composer']",7.4/10,2012,4m,Music Video,,"['Music', 'Sci-Fi']"
30 Rock,"['actor', 'writer', 'soundtrack', 'additional crew', 'thanks']",8.3/10,2006–2013,22m,TV Series,TV-14,['Comedy']
Community: Abed's Master Key,['actor'],6.6/10,2012,6m,TV Short,,"['Animation', 'Short', 'Comedy']"
Childish Gambino: Heartbeat,"['actor', 'writer', 'producer', 'soundtrack', 'composer']",7.8/10,2012,5m,Music Video,,['Music']
CollegeHumor Originals,"['actor', 'writer']",7.6/10,2006–,,TV Series,TV-MA,"['Comedy', 'Horror']"
Regular Show,"['actor', 'soundtrack']",8.5/10,2009–2017,23m,TV Series,7,"['Animation', 'Action', 'Adventure']"
