Title,Category,Rating,Year,Length,Type,Age,Genre,URL
No title,['actor'],,,,Movie,,[],https://www.imdb.com/title/tt16971122/?ref_=nm_flmg_act_1
You People,"['actor', 'producer', 'writer']",,2023,,Movie,,"['Comedy', 'Romance']",https://www.imdb.com/title/tt14826022/?ref_=nm_flmg_act_2
Don't Look Up,['actor'],7.2/10,2021,2h 18m,Movie,11,"['Comedy', 'Drama', 'Sci-Fi']",https://www.imdb.com/title/tt11286314/?ref_=nm_flmg_act_3
Adidas Originals: Superstar - Change Is a Team Sport,['actor'],8.1/10,2020,,Movie,,['Short'],https://www.imdb.com/title/tt14129748/?ref_=nm_flmg_act_4
"Simma lugnt, Larry!",['actor'],8.8/10,2000–,28m,TV Series,15,[],https://www.imdb.com/title/tt0264235/?ref_=nm_flmg_act_5
The Beach Bum,['actor'],5.5/10,2019,1h 35m,Movie,15,['Comedy'],https://www.imdb.com/title/tt6511932/?ref_=nm_flmg_act_6
Vampire Weekend: Harmony Hall,['actor'],4.4/10,2019,5m,Video,,"['Short', 'Music']",https://www.imdb.com/title/tt13293326/?ref_=nm_flmg_act_7
Lego-filmen 2,['actor'],6.6/10,2019,1h 47m,Movie,7,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt3513498/?ref_=nm_flmg_act_8
Draktränaren 3,['actor'],7.4/10,2019,1h 44m,Movie,7,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt2386490/?ref_=nm_flmg_act_9
Maniac,"['actor', 'producer']",7.7/10,2018,6h 26m,TV Mini Series,16+,"['Comedy', 'Drama', 'Sci-Fi']",https://www.imdb.com/title/tt5580146/?ref_=nm_flmg_act_10
The Shivering Truth,['actor'],8.1/10,2018–,11m,TV Series,16+,"['Animation', 'Comedy', 'Fantasy']",https://www.imdb.com/title/tt6905458/?ref_=nm_flmg_act_11
"Don't Worry, He Won't Get Far on Foot",['actor'],6.8/10,2018,1h 54m,Movie,11,"['Biography', 'Comedy', 'Drama']",https://www.imdb.com/title/tt6288124/?ref_=nm_flmg_act_12
Batman Is Just Not That Into You,['actor'],5.6/10,2017,2m,Video,TV-PG,"['Animation', 'Short', 'Comedy']",https://www.imdb.com/title/tt6843610/?ref_=nm_flmg_act_13
Animals,['actor'],7.2/10,2016–2018,30m,TV Series,TV-MA,"['Animation', 'Comedy']",https://www.imdb.com/title/tt4953128/?ref_=nm_flmg_act_14
The Lego Batman Movie,['actor'],7.3/10,2017,1h 44m,Movie,7,"['Animation', 'Action']",https://www.imdb.com/title/tt4116284/?ref_=nm_flmg_act_15
War Dogs,['actor'],7.1/10,2016,1h 54m,Movie,11,"['Biography', 'Comedy']",https://www.imdb.com/title/tt2005151/?ref_=nm_flmg_act_16
Sausage Party,"['actor', 'producer', 'writer']",6.1/10,2016,1h 29m,Movie,11,"['Animation', 'Adventure']",https://www.imdb.com/title/tt1700841/?ref_=nm_flmg_act_17
"Hail, Caesar!",['actor'],6.3/10,2016,1h 46m,Movie,7,"['Comedy', 'Drama']",https://www.imdb.com/title/tt0475290/?ref_=nm_flmg_act_18
True Story,['actor'],6.3/10,2015,1h 39m,Movie,15,"['Biography', 'Crime']",https://www.imdb.com/title/tt2273657/?ref_=nm_flmg_act_19
22 Jump Street,"['actor', 'producer', 'writer']",7.0/10,2014,1h 52m,Movie,11,"['Action', 'Comedy', 'Crime']",https://www.imdb.com/title/tt2294449/?ref_=nm_flmg_act_20
Draktränaren 2,['actor'],7.8/10,2014,1h 42m,Movie,7,"['Animation', 'Action']",https://www.imdb.com/title/tt1646971/?ref_=nm_flmg_act_21
Lego-filmen,['actor'],7.7/10,2014,1h 40m,Movie,7,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt1490017/?ref_=nm_flmg_act_22
The Wolf of Wall Street,['actor'],8.2/10,2013,3h,Movie,15,"['Biography', 'Comedy']",https://www.imdb.com/title/tt0993846/?ref_=nm_flmg_act_23
This Is the End,['actor'],6.6/10,2013,1h 47m,Movie,15,['Comedy'],https://www.imdb.com/title/tt1245492/?ref_=nm_flmg_act_24
