Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Gotham City Sirens,"['actress', 'producer']",,,,Movie,,"['Action', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt5726658/?ref_=nm_flmg_act_1
Ruin,['actress'],,,,Movie,,"['Thriller', 'War']",https://www.imdb.com/title/tt6731340/?ref_=nm_flmg_act_2
Untitled Margot Robbie Ocean's Eleven Film,"['actress', 'producer']",,,,Movie,,[],https://www.imdb.com/title/tt20393072/?ref_=nm_flmg_act_3
Barbie,"['actress', 'producer']",,2023,,Movie,,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt1517268/?ref_=nm_flmg_act_4
Asteroid City,['actress'],,2022,,Movie,,['Comedy'],https://www.imdb.com/title/tt14230388/?ref_=nm_flmg_act_5
Babylon,['actress'],,2022,,Movie,,"['Comedy', 'Drama', 'History']",https://www.imdb.com/title/tt10640346/?ref_=nm_flmg_act_6
Amsterdam,['actress'],5.6/10,2022,2h 14m,Movie,15,"['Comedy', 'Drama', 'History']",https://www.imdb.com/title/tt10304142/?ref_=nm_flmg_act_7
Neighbours,"['actress', 'archive footage']",5.5/10,1985–2022,22m,TV Series,TV-G,['Drama'],https://www.imdb.com/title/tt0088580/?ref_=nm_flmg_act_8
The Suicide Squad,['actress'],7.2/10,2021,2h 12m,Movie,15,"['Action', 'Adventure']",https://www.imdb.com/title/tt6334354/?ref_=nm_flmg_act_9
Pelle Kanin 2 - På rymmen,['actress'],6.2/10,2021,1h 33m,Movie,Btl,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt8376234/?ref_=nm_flmg_act_10
Boss Bitch Fight Challenge,['actress'],7.8/10,2020,5m,Video,,"['Short', 'Action']",https://www.imdb.com/title/tt12255172/?ref_=nm_flmg_act_11
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,"['actress', 'producer']",6.0/10,2020,1h 49m,Movie,15,"['Action', 'Adventure']",https://www.imdb.com/title/tt7713068/?ref_=nm_flmg_act_12
Bombshell - När tystnaden bryts,['actress'],6.8/10,2019,1h 49m,Movie,11,"['Biography', 'Drama']",https://www.imdb.com/title/tt6394270/?ref_=nm_flmg_act_13
Dollface,"['actress', 'producer']",7.4/10,2019–2022,29m,TV Series,12,[],https://www.imdb.com/title/tt7661046/?ref_=nm_flmg_act_14
Once Upon a Time in Hollywood,['actress'],7.6/10,2019,2h 41m,Movie,15,"['Comedy', 'Drama']",https://www.imdb.com/title/tt7131622/?ref_=nm_flmg_act_15
Dreamland,"['actress', 'producer']",5.8/10,2019,1h 38m,Movie,15,"['Drama', 'Thriller']",https://www.imdb.com/title/tt5294522/?ref_=nm_flmg_act_16
Mary Queen of Scots,['actress'],6.3/10,2018,2h 4m,Movie,15,"['Biography', 'Drama']",https://www.imdb.com/title/tt2328900/?ref_=nm_flmg_act_17
Slaughterhouse Rulez,['actress'],5.3/10,2018,1h 44m,Movie,R,"['Action', 'Comedy']",https://www.imdb.com/title/tt6905696/?ref_=nm_flmg_act_18
Terminal,"['actress', 'producer']",5.3/10,2018,1h 35m,Movie,Not Rated,"['Comedy', 'Crime', 'Drama']",https://www.imdb.com/title/tt4463816/?ref_=nm_flmg_act_19
