Title,Category,Rating,Year,Length,Type,Age,Genre
Kill Bill: Vol. 3,['writer'],,,,Movie,,"['Action', 'Crime', 'Thriller']"
Django/Zorro,"['writer', 'producer']",,2022,,Movie,,"['Adventure', 'Drama', 'Western']"
Once Upon a Time in Hollywood,"['writer', 'actor', 'producer', 'director']",7.6/10,2019,2h 41m,Movie,15,"['Comedy', 'Drama']"
From Dusk Till Dawn: The Series,['writer'],6.8/10,2014–2016,45m,TV Series,16+,"['Action', 'Crime', 'Fantasy']"
The Hateful Eight,"['writer', 'actor', 'director']",7.8/10,2015,2h 48m,Movie,15,"['Crime', 'Drama', 'Mystery']"
Scenes from Django Unchained - UK Winner,['writer'],5.2/10,2013,5m,Movie,,"['Short', 'Western']"
Django Unchained,"['writer', 'actor', 'director', 'soundtrack']",8.4/10,2012,2h 45m,Movie,15,"['Drama', 'Western']"
Kill Bill: The Whole Bloody Affair,"['writer', 'director']",8.8/10,2011,4h 7m,Movie,Not Rated,"['Action', 'Crime', 'Thriller']"
Inglourious Basterds,"['writer', 'actor', 'director']",8.3/10,2009,2h 33m,Movie,15,"['Adventure', 'Drama', 'War']"
Death Proof,"['writer', 'actor', 'producer', 'director', 'cinematographer']",7.0/10,2007,2h 7m,Movie,15,"['Action', 'Thriller']"
Grindhouse,"['writer', 'actor', 'producer', 'director', 'cinematographer']",7.5/10,2007,3h 11m,Movie,15,"['Action', 'Horror', 'Thriller']"
Reservoir Dogs,['writer'],7.6/10,2006,,Video Game,M,"['Action', 'Crime', 'Drama']"
CSI: Crime Scene Investigation,"['writer', 'director']",7.7/10,2000–2015,1h,TV Series,16,"['Crime', 'Drama', 'Mystery']"
Kill Bill: Vol. 2,"['writer', 'actor', 'director', 'soundtrack', 'music department']",8.0/10,2004,2h 17m,Movie,15,"['Action', 'Crime', 'Thriller']"
Kill Bill: Vol. 1,"['writer', 'director', 'music department']",8.2/10,2003,1h 51m,Movie,15,"['Action', 'Crime', 'Drama']"
Reservoir Wolves,['writer'],3.9/10,2001,10m,Movie,,"['Short', 'Crime']"
