Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Intelligent Life,['producer'],,,,Movie,,"['Comedy', 'Romance', 'Sci-Fi']",https://www.imdb.com/title/tt2234048/?ref_=nm_flmg_prd_1
Napoleon,['producer'],,,,TV Mini Series,,['Biography'],https://www.imdb.com/title/tt15683824/?ref_=nm_flmg_prd_2
Real Steel 2,['producer'],,,,Movie,,"['Action', 'Drama']",https://www.imdb.com/title/tt1896804/?ref_=nm_flmg_prd_3
Robopocalypse,['producer'],,,,Movie,,"['Action', 'Adventure']",https://www.imdb.com/title/tt1541155/?ref_=nm_flmg_prd_4
The Talisman,['producer'],,,,TV Series,,"['Adventure', 'Drama', 'Fantasy']",https://www.imdb.com/title/tt0384580/?ref_=nm_flmg_prd_5
Untitled Third Tintin Film,['producer'],,,,Movie,,"['Animation', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt1204343/?ref_=nm_flmg_prd_6
Tintins äventyr: Solens tempel,['producer'],,2027,,Movie,,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt1037226/?ref_=nm_flmg_prd_7
Gremlins 3,['producer'],,2023,,Movie,,"['Comedy', 'Fantasy']",https://www.imdb.com/title/tt2918116/?ref_=nm_flmg_prd_8
The Kidnapping of Edgardo Mortara,['producer'],,2026,,Movie,,['Drama'],https://www.imdb.com/title/tt3675680/?ref_=nm_flmg_prd_9
Maestro,['producer'],,,,Movie,,"['Biography', 'Drama', 'Music']",https://www.imdb.com/title/tt5535276/?ref_=nm_flmg_prd_10
Masters of the Air,['producer'],,,,TV Mini Series,,"['Action', 'Drama', 'Thriller']",https://www.imdb.com/title/tt2640044/?ref_=nm_flmg_prd_11
The Color Purple,['producer'],,2023,,Movie,,"['Drama', 'Musical']",https://www.imdb.com/title/tt1200263/?ref_=nm_flmg_prd_12
Untitled Indiana Jones Project,['producer'],,2023,,Movie,,['Action'],https://www.imdb.com/title/tt1462764/?ref_=nm_flmg_prd_13
Transformers: Rise of the Beasts,['producer'],,2023,,Movie,,"['Action', 'Adventure']",https://www.imdb.com/title/tt5090568/?ref_=nm_flmg_prd_14
Tiny Toons Looniversity,['producer'],,2022–,,TV Series,,"['Animation', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt13362852/?ref_=nm_flmg_prd_15
Animaniacs,"['producer', 'producer', 'thanks']",7.8/10,2020–,27m,TV Series,TV-PG,"['Animation', 'Short', 'Adventure']",https://www.imdb.com/title/tt6951546/?ref_=nm_flmg_prd_16
The Fabelmans,"['producer', 'writer', 'director']",8.5/10,2022,2h 31m,Movie,PG-13,[],https://www.imdb.com/title/tt14208870/?ref_=nm_flmg_prd_17
Jurassic World: Krita-lägret,['producer'],7.5/10,7+,24m,TV Series,,"['Animation', 'Action']",https://www.imdb.com/title/tt10436228/?ref_=nm_flmg_prd_18
Jurassic World Dominion,['producer'],5.7/10,2022,2h 27m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt8041270/?ref_=nm_flmg_prd_19
Halo,['producer'],7.1/10,2022–,1h,TV Series,TV-14,"['Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt2934286/?ref_=nm_flmg_prd_20
West Side Story,"['producer', 'director', 'additional crew']",7.2/10,2021,2h 36m,Movie,11,"['Crime', 'Drama', 'Musical']",https://www.imdb.com/title/tt3581652/?ref_=nm_flmg_prd_21
Oslo,['producer'],6.6/10,2021,1h 58m,TV Movie,TV-MA,"['Drama', 'History']",https://www.imdb.com/title/tt11790674/?ref_=nm_flmg_prd_22
Amazing Stories,"['producer', 'producer', 'producer', 'writer', 'writer', 'director', 'director']",6.3/10,2020,52m,TV Series,9+,"['Action', 'Adventure']",https://www.imdb.com/title/tt5165368/?ref_=nm_flmg_prd_23
Why We Hate,['producer'],7.2/10,2019,48m,TV Series,,['Documentary'],https://www.imdb.com/title/tt8300948/?ref_=nm_flmg_prd_24
Men in Black: International,['producer'],5.6/10,2019,1h 54m,Movie,11,"['Action', 'Adventure']",https://www.imdb.com/title/tt2283336/?ref_=nm_flmg_prd_25
Bull,['producer'],7.0/10,2016–2022,1h,TV Series,13,"['Comedy', 'Crime', 'Drama']",https://www.imdb.com/title/tt5827228/?ref_=nm_flmg_prd_26
Bumblebee,['producer'],6.7/10,2018,1h 54m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt4701182/?ref_=nm_flmg_prd_27
First Man,['producer'],7.3/10,2018,2h 21m,Movie,11,"['Biography', 'Drama', 'History']",https://www.imdb.com/title/tt1213641/?ref_=nm_flmg_prd_28
Jurassic World: Fallen Kingdom,['producer'],6.1/10,2018,2h 8m,Movie,11,"['Action', 'Adventure']",https://www.imdb.com/title/tt4881806/?ref_=nm_flmg_prd_29
Ready Player One,"['producer', 'director']",7.4/10,2018,2h 20m,Movie,11,"['Action', 'Adventure']",https://www.imdb.com/title/tt1677720/?ref_=nm_flmg_prd_30
The Post,"['producer', 'director']",7.2/10,2017,1h 56m,Movie,11,"['Biography', 'Drama', 'History']",https://www.imdb.com/title/tt6294822/?ref_=nm_flmg_prd_31
Transformers: The Last Knight,['producer'],5.2/10,2017,2h 34m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt3371366/?ref_=nm_flmg_prd_32
Five Came Back,"['producer', 'thanks', 'self']",8.3/10,2017,1h,TV Mini Series,TV-14,"['Documentary', 'Biography', 'History']",https://www.imdb.com/title/tt6587094/?ref_=nm_flmg_prd_33
Finding Oscar,['producer'],7.2/10,2016,1h 40m,Movie,,"['Documentary', 'Crime', 'Drama']",https://www.imdb.com/title/tt5719232/?ref_=nm_flmg_prd_34
All the Way,['producer'],7.2/10,2016,2h 12m,TV Movie,TV-14,"['Biography', 'Drama']",https://www.imdb.com/title/tt3791216/?ref_=nm_flmg_prd_35
SVJ - Stora vänliga jätten,"['producer', 'director']",6.3/10,2016,1h 57m,Movie,7,"['Adventure', 'Family']",https://www.imdb.com/title/tt3691740/?ref_=nm_flmg_prd_36
Public Morals,['producer'],6.8/10,2015,1h,TV Series,TV-MA,"['Crime', 'Drama']",https://www.imdb.com/title/tt3597854/?ref_=nm_flmg_prd_37
Minority Report,"['producer', 'director']",5.9/10,2015,42m,TV Mini Series,TV-14,"['Action', 'Crime', 'Drama']",https://www.imdb.com/title/tt4450826/?ref_=nm_flmg_prd_38
Spionernas bro,"['producer', 'director']",7.6/10,2015,2h 22m,Movie,11,"['Drama', 'History', 'Thriller']",https://www.imdb.com/title/tt3682448/?ref_=nm_flmg_prd_39
Under the Dome,['producer'],6.5/10,2013–2015,43m,TV Series,15,"['Drama', 'Mystery']",https://www.imdb.com/title/tt1553656/?ref_=nm_flmg_prd_40
Extant,['producer'],6.5/10,2014–2015,42m,TV Series,TV-14,"['Drama', 'Sci-Fi']",https://www.imdb.com/title/tt3155320/?ref_=nm_flmg_prd_41
Falling Skies,['producer'],7.1/10,2011–2015,42m,TV Series,15,"['Action', 'Adventure', 'Drama']",https://www.imdb.com/title/tt1462059/?ref_=nm_flmg_prd_42
The Whispers,['producer'],7.1/10,2015,1h,TV Series,TV-14,"['Drama', 'Horror']",https://www.imdb.com/title/tt3487410/?ref_=nm_flmg_prd_43
Jurassic World,['producer'],6.9/10,2015,2h 4m,Movie,11,"['Action', 'Adventure']",https://www.imdb.com/title/tt0369610/?ref_=nm_flmg_prd_44
Auschwitz,['producer'],7.5/10,2015,15m,Movie,,"['Documentary', 'Short', 'History']",https://www.imdb.com/title/tt4397800/?ref_=nm_flmg_prd_45
Lucky 7,['producer'],5.1/10,2013–2014,42m,TV Series,TV-14,['Drama'],https://www.imdb.com/title/tt2712966/?ref_=nm_flmg_prd_46
Red Band Society,['producer'],7.9/10,2014–2015,43m,TV Series,TV-14,"['Comedy', 'Drama']",https://www.imdb.com/title/tt3576794/?ref_=nm_flmg_prd_47
100 steg från Bombay till Paris,['producer'],7.3/10,2014,2h 2m,Movie,11,"['Comedy', 'Drama']",https://www.imdb.com/title/tt2980648/?ref_=nm_flmg_prd_48
Transformers: Age of Extinction,['producer'],5.6/10,2014,2h 45m,Movie,11,"['Action', 'Adventure']",https://www.imdb.com/title/tt2109248/?ref_=nm_flmg_prd_49
Smash,['producer'],7.7/10,2012–2013,44m,TV Series,TV-14,['Drama'],https://www.imdb.com/title/tt1825133/?ref_=nm_flmg_prd_50
Don't Say No Until I Finish Talking: The Story of Richard D. Zanuck,"['producer', 'thanks', 'self']",7.1/10,2013,1h 28m,Movie,,['Documentary'],https://www.imdb.com/title/tt2310814/?ref_=nm_flmg_prd_51
Lincoln,"['producer', 'director']",7.3/10,2012,2h 30m,Movie,11,"['Biography', 'Drama', 'History']",https://www.imdb.com/title/tt0443272/?ref_=nm_flmg_prd_52
Men in Black 3,['producer'],6.8/10,2012,1h 46m,Movie,11,"['Action', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt1409024/?ref_=nm_flmg_prd_53
The River,['producer'],6.8/10,2012,44m,TV Series,TV-14,"['Action', 'Adventure', 'Drama']",https://www.imdb.com/title/tt1836195/?ref_=nm_flmg_prd_54
Terra Nova,['producer'],6.7/10,2011,46m,TV Series,12,"['Adventure', 'Drama', 'Mystery']",https://www.imdb.com/title/tt1641349/?ref_=nm_flmg_prd_55
War Horse,"['producer', 'director']",7.2/10,2011,2h 26m,Movie,11,"['Action', 'Adventure', 'Drama']",https://www.imdb.com/title/tt1568911/?ref_=nm_flmg_prd_56
Transformers: The Ride - 3D,['producer'],7.8/10,2011,11m,Video,,"['Short', 'Action']",https://www.imdb.com/title/tt1843316/?ref_=nm_flmg_prd_57
Tintins äventyr: Enhörningens hemlighet,"['producer', 'director', 'camera and electrical department']",7.3/10,2011,1h 47m,Movie,11,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt0983193/?ref_=nm_flmg_prd_58
Real Steel,['producer'],7.0/10,2011,2h 7m,Movie,11,"['Action', 'Drama', 'Sci-Fi']",https://www.imdb.com/title/tt0433035/?ref_=nm_flmg_prd_59
Rising: Rebuilding Ground Zero,['producer'],8.4/10,2011–,,TV Series,,['Documentary'],https://www.imdb.com/title/tt1586155/?ref_=nm_flmg_prd_60
Cowboys & Aliens,['producer'],6.0/10,2011,1h 59m,Movie,15,"['Action', 'Sci-Fi', 'Thriller']",https://www.imdb.com/title/tt0409847/?ref_=nm_flmg_prd_61
Locke & Key,['producer'],7.2/10,2011,48m,TV Movie,,"['Adventure', 'Drama', 'Horror']",https://www.imdb.com/title/tt1193126/?ref_=nm_flmg_prd_62
Transformers 3,['producer'],6.2/10,2011,2h 34m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt1399103/?ref_=nm_flmg_prd_63
United States of Tara,['producer'],8.0/10,2009–2011,30m,TV Series,TV-MA,"['Comedy', 'Drama']",https://www.imdb.com/title/tt1001482/?ref_=nm_flmg_prd_64
Super 8,['producer'],7.0/10,2011,1h 52m,Movie,11,"['Action', 'Mystery']",https://www.imdb.com/title/tt1650062/?ref_=nm_flmg_prd_65
True Grit,['producer'],7.6/10,2010,1h 50m,Movie,15,['Drama'],https://www.imdb.com/title/tt1403865/?ref_=nm_flmg_prd_66
Livet efter detta,['producer'],6.5/10,2010,2h 9m,Movie,11,"['Drama', 'Fantasy', 'Romance']",https://www.imdb.com/title/tt1212419/?ref_=nm_flmg_prd_67
The Pacific,['producer'],8.3/10,2010,8h 50m,TV Mini Series,15,"['Action', 'Adventure']",https://www.imdb.com/title/tt0374463/?ref_=nm_flmg_prd_68
Flickan från ovan,['producer'],6.6/10,2009,2h 15m,Movie,15,"['Drama', 'Fantasy', 'Thriller']",https://www.imdb.com/title/tt0380510/?ref_=nm_flmg_prd_69
