Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Beetlejuice 2,"['producer', 'director']",,,,Movie,,"['Comedy', 'Fantasy', 'Horror']",https://www.imdb.com/title/tt2049403/?ref_=nm_flmg_prd_1
Wednesday,"['producer', 'director']",,2022–,,TV Series,,"['Comedy', 'Family', 'Fantasy']",https://www.imdb.com/title/tt13443470/?ref_=nm_flmg_prd_2
Dumbo,"['producer', 'director']",6.3/10,2019,1h 52m,Movie,7,"['Adventure', 'Family']",https://www.imdb.com/title/tt3861390/?ref_=nm_flmg_prd_3
Alice i Spegellandet,['producer'],6.1/10,2016,1h 53m,Movie,11,"['Adventure', 'Family', 'Fantasy']",https://www.imdb.com/title/tt2567026/?ref_=nm_flmg_prd_4
Big Eyes,"['producer', 'director']",7.0/10,2014,1h 46m,Movie,11,"['Biography', 'Crime', 'Drama']",https://www.imdb.com/title/tt1126590/?ref_=nm_flmg_prd_5
Captain Sparky vs. The Flying Saucers,['producer'],6.2/10,2013,3m,Movie,,"['Animation', 'Short', 'Adventure']",https://www.imdb.com/title/tt2631580/?ref_=nm_flmg_prd_6
Frankenweenie,"['producer', 'director', 'director', 'writer', 'writer', 'art department']",6.9/10,2012,1h 27m,Movie,11,"['Animation', 'Comedy']",https://www.imdb.com/title/tt1142977/?ref_=nm_flmg_prd_7
Linkin Park: Powerless,['producer'],7.0/10,2012,3m,Music Video,,['Action'],https://www.imdb.com/title/tt7230782/?ref_=nm_flmg_prd_8
Abraham Lincoln: Vampire Hunter,['producer'],5.9/10,2012,1h 45m,Movie,15,"['Action', 'Fantasy', 'Horror']",https://www.imdb.com/title/tt1611224/?ref_=nm_flmg_prd_9
9,['producer'],7.0/10,2009,1h 19m,Movie,11,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt0472033/?ref_=nm_flmg_prd_10
Corpse Bride,"['producer', 'director', 'writer']",7.3/10,2005,1h 17m,Movie,7,"['Animation', 'Drama', 'Family']",https://www.imdb.com/title/tt0121164/?ref_=nm_flmg_prd_11
Lost in Oz,"['producer', 'writer']",5.6/10,2000,,TV Movie,,"['Drama', 'Fantasy']",https://www.imdb.com/title/tt0173573/?ref_=nm_flmg_prd_12
The World of Stainboy,"['producer', 'director', 'writer', 'animation department']",7.0/10,2000,5m,TV Mini Series,,"['Animation', 'Short']",https://www.imdb.com/title/tt0400231/?ref_=nm_flmg_prd_13
Mars Attacks!,"['producer', 'director']",6.4/10,1996,1h 46m,Movie,11,['Comedy'],https://www.imdb.com/title/tt0116996/?ref_=nm_flmg_prd_14
James och jättepersikan,['producer'],6.7/10,1996,1h 19m,Movie,PG,"['Animation', 'Adventure', 'Family']",https://www.imdb.com/title/tt0116683/?ref_=nm_flmg_prd_15
Batman Forever,['producer'],5.4/10,1995,2h 1m,Movie,11,['Action'],https://www.imdb.com/title/tt0112462/?ref_=nm_flmg_prd_16
Conversations with Vincent,"['producer', 'director', 'self']",8.3/10,1994,1h,Video,,['Documentary'],https://www.imdb.com/title/tt2033231/?ref_=nm_flmg_prd_17
Ed Wood,"['producer', 'director']",7.8/10,1994,2h 7m,Movie,11,"['Biography', 'Comedy']",https://www.imdb.com/title/tt0109707/?ref_=nm_flmg_prd_18
Cabin Boy,['producer'],5.2/10,1994,1h 20m,Movie,PG-13,"['Adventure', 'Comedy', 'Romance']",https://www.imdb.com/title/tt0109361/?ref_=nm_flmg_prd_19
Nightmare Before Christmas,"['producer', 'writer']",7.9/10,1993,1h 16m,Movie,11,"['Animation', 'Family', 'Fantasy']",https://www.imdb.com/title/tt0107688/?ref_=nm_flmg_prd_20
Family Dog,"['producer', 'additional crew']",6.9/10,1993,30m,TV Series,TV-Y,"['Animation', 'Family', 'Comedy']",https://www.imdb.com/title/tt0105996/?ref_=nm_flmg_prd_21
Batman - Återkomsten,"['producer', 'director']",7.1/10,1992,2h 6m,Movie,15,"['Action', 'Crime']",https://www.imdb.com/title/tt0103776/?ref_=nm_flmg_prd_22
Beetlejuice,"['producer', 'additional crew', 'director']",7.3/10,1989–1991,22m,TV Series,TV-Y,"['Animation', 'Short']",https://www.imdb.com/title/tt0096543/?ref_=nm_flmg_prd_23
Edward Scissorhands,"['producer', 'director', 'writer']",7.9/10,1990,1h 45m,Movie,PG-13,"['Drama', 'Fantasy']",https://www.imdb.com/title/tt0099487/?ref_=nm_flmg_prd_24
Luau,"['producer', 'director', 'writer', 'animation department', 'actor']",4.6/10,1982,31m,Movie,,['Short'],https://www.imdb.com/title/tt0367989/?ref_=nm_flmg_prd_25
Stalk of the Celery Monster,"['producer', 'director', 'writer', 'animation department']",5.8/10,1979,2m,Movie,,"['Animation', 'Short']",https://www.imdb.com/title/tt0294940/?ref_=nm_flmg_prd_26
Shadows of the Bat: The Cinematic Saga of the Dark Knight - Dark Side of the Knight,"['additional crew', 'thanks', 'self']",7.3/10,2005,30m,Video,,['Documentary'],https://www.imdb.com/title/tt0486909/?ref_=nm_flmg_msc_1
Zorro,['additional crew'],6.5/10,1997–1998,30m,TV Series,Not Rated,"['Animation', 'Adventure']",https://www.imdb.com/title/tt0149548/?ref_=nm_flmg_msc_2
TV-terror,['additional crew'],6.2/10,1992,1h 28m,Movie,PG,"['Adventure', 'Comedy', 'Fantasy']",https://www.imdb.com/title/tt0105466/?ref_=nm_flmg_msc_4
Mupparna,"['additional crew', 'actor']",7.6/10,1979,1h 35m,Movie,Btl,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt0079588/?ref_=nm_flmg_msc_6
Miss Peregrines hem för besynnerliga barn,"['director', 'actor']",6.7/10,2016,2h 7m,Movie,11,"['Adventure', 'Drama']",https://www.imdb.com/title/tt1935859/?ref_=nm_flmg_dr_4
Prehistoric Caveman,"['director', 'animation department']",3.8/10,2015,4m,Movie,,"['Animation', 'Short']",https://www.imdb.com/title/tt5186094/?ref_=nm_flmg_dr_5
The Island of Doctor Agor,"['director', 'writer', 'animation department', 'actor']",7.0/10,2015,,Movie,,"['Animation', 'Short']",https://www.imdb.com/title/tt0309721/?ref_=nm_flmg_dr_6
The Killers: Here with Me,['director'],7.4/10,2012,5m,Music Video,,"['Short', 'Fantasy', 'Horror']",https://www.imdb.com/title/tt5361610/?ref_=nm_flmg_dr_8
Dark Shadows,['director'],6.2/10,2012,1h 53m,Movie,11,"['Comedy', 'Fantasy', 'Horror']",https://www.imdb.com/title/tt1077368/?ref_=nm_flmg_dr_10
Alice återvänder till Underlandet,['director'],6.4/10,2010,1h 48m,Movie,11,"['Adventure', 'Family']",https://www.imdb.com/title/tt1014759/?ref_=nm_flmg_dr_11
